,_id,alcohol_vol,balling,beer_name,beer_type,bitterness,brewery,color,description,dry_matter,ebc,group_type,ingredients,price,temperature,vol
77,5bf28413e1ac2139a4a50e18,"5,5%",,Gyertyános Szilva,Gyertyános Szilva,,gyertyanos.hu,,"A gyümölcs sörük közül nem hiányozhat a magyar birsalma sem, mely sörben diszkréten tolakodó, jól felismerhető, selymesen lágy ízvilágot képez. Illatában a friss gyümölcsösség és a sör egyedi jegyei hibátlanul megjelennek, alkoholtartalma (5,5%) rendkívül jól rejtőzködik, a nyári melegben kiváló szomjoltó ital.",,,,,,,
78,5bf28413e1ac2139a4a50e19,"5,5%",,Gyertyános Gesztenye,Gyertyános Gesztenye,,gyertyanos.hu,,"Egy egész éven átívelő sörkülönlegesség, mely nem csak nyáron, télen is remek üdítő ital. A szilva a sörben nem tolakodó, az enyhétől a kifejezetten édesig és fanyarig tart az íze. Már az első korty után mind illatában mind ízében jól dominál a jellegzetesen érett gyümölcs. Alkoholtartalma 5,5%.",,,,,,,
79,5bf28413e1ac2139a4a50e1a,"5,5%",,Whiskeys Búza,Whiskeys Búza,,gyertyanos.hu,,"Eleinte év végi ünnepekre, majd később a nagy fogyasztói igény hatására egész éven át készített, gesztenyeliszt és bourbon vanília hozzáadásával előállított különlegesség. A sör színében aranybarna, ízében a gesztenyéhez méltó jegyekkel lett felruházva. A gesztenyét kedvelő fogyasztók körében a sör minden kortya kellemes hangulatot teremthet számukra. Alkoholtartalom 5,5%.",,,,,,,
80,5bf28413e1ac2139a4a50e1b,"4,6%",,Gyertyános Gyömbér,Gyertyános Gyömbér,,gyertyanos.hu,,"Ír whiskey maláta hozzáadásával készített, fahordóban érlelt szűretlen búzasör, mely a whiskey -és sörimádók körében egy ütős kombinációnak minősülhet. A páratlan páros kóstolásakor először a karakteres búza uralkodik, de végül a whiskeys jegyek is harcra késztetik az ízlelőbimbók számos sokaságát. Alkoholtartalma megtévesztő, hiszen többnek érződik, de megmaradt főzdénk sztenderdje, mely 5,5%.",,,,,,,
81,5bf28413e1ac2139a4a50e1c,8%,,Tequila’s IPA,Tequila’s IPA,,gyertyanos.hu,,"A nyári forró napok hűsítői közül nem maradhatott ki ezen gyömbér hozzáadásával készített lager sörünk. Mind ízéből mind illatából jól kihangsúlyozódnak a gyümölcsös jegyek, a narancs és az akácméz még tovább fokozzák a sör élvezeti értékét. Alkoholtartalma 4,6%, jellegzetes üdítő sör.",,,,,,,
82,5bf28413e1ac2139a4a50e1d,"5,5%",,Jégvirág,Jégvirág,,gyertyanos.hu,,"Az elmúlt években rohamos léptekkel tört be az IPA (India Pale Ale) a magyar sörtársadalom színes polcaira és ezen kevés idő alatt vált a sörfogyasztók egyik kedvenc sörfajtájává. A Tequila’s IPA különleges ízvilágát az eredet védett Maris Otter maláta, a prémium kategóriás Amarillo komló és a tequila fő alapanyaga, a híres Agave kivonat tökéletes elegyének köszönheti. Markáns teste mellett egy gyöngéd citrusos világ is megmutatkozik, mely jóval üdébbé, selymesebbé varázsolja a sört. Alkoholtartalma 8%, kedvezve az erősebb sörök kedvelői számára.",,,,,,,
83,5bf28413e1ac2139a4a50e1e,"5,5%",,Fekete Erdő,Fekete Erdő,,gyertyanos.hu,,"Egy stílusosan elegáns kékszőlő és muskotály szőlő hozzáadásával készített gyümölcsös sör, mely illatában és ízében a szőlő szüret varázsára emlékeztet. A szőlő első gondolatként kicsit bizarr elképzelés a sörben, de amint közelebbről is megvizsgáljuk, kellemes csalódásként érhet a tökéletes harmonizáció, melyet a két elem együttese nyújt. Reményeink szerint nem csak télen, hanem nyáron is kedvelt sörré válhat fogyasztóink között. Alk.: 5,5% vol.",,,,,,,
84,5bf28413e1ac2139a4a50e1f,"5,5%",,Golden Búza,Golden Búza,,gyertyanos.hu,,"Tengerentúli ismeretekkel megfűszerezett, áfonya, málna és többféle maláta hozzáadásával készített fanyar barna lager. Illatában a frissesség, a pörköltség és ízében a gyümölcsös jegyek jól harmonizálnak az amerikai sour sörökre jellemző fanyarsággal. Alkoholtartalma 5,5%.",,,,,,,
85,5bf28413e1ac2139a4a50e20,"5,5%",,Fresh Melon,Fresh Melon,,gyertyanos.hu,,"Prémium összetevőkből, több féle maláta, kristály maláták és Mandarina Bavaria komló hozzáadásával előállított szűretlen búzasör. A tündöklően mély aranysárga sörünket közepes testesség jellemzi, mely már első szempillantásra elkápráztatja fogyasztóját. Ízében a citrusos és banános jegyek szépen kikerekednek az ale diszkrét élesztőssége mellett. Fogyasztását citromkarika kíséretében ajánljuk, de anélkül is remek hűsítő. Alk. 5,5% vol.",,,,,,,
86,5bf28413e1ac2139a4a50e21,45%,,Sörpárlat,Sörpárlat,,gyertyanos.hu,,"Már a nevében is hangsúlyozottan friss, sárgadinnye és citrom hozzáadásával készült nyári ital. A sárgadinnye formabontó világa kicsit extrém elképzelés, mégis kellemesen harmonizál a sörrel. Illatában és ízében az édeskés jegyek dominálnak, mely mellé egy gyöngéd citrusosság is társul. Remek egzotikus szomjoltó a gyümölcsös sörök kedvelőinek célozva. Alkoholtartalma 5,5%.",,,,,,,
87,5bf28413e1ac2139a4a50e22,"8,0%",,Gyertyános Chilis,Gyertyános Chilis,,gyertyanos.hu,,"Belga típusú, füstös és fűszeres maláták keverékéből, chili, fűszerpaprika és bors hozzáadásával készített, magasabb, 18 balling-fokra főzött ale sörkülönlegesség. A fűszeres jegyek extrém ízvilágot képeznek, melytől a sör étvágygerjesztés és egyben adrenalinszint emelő is lehet. Alk.: 8,0%",,,,,,,
88,5bf28413e1ac2139a4a50e23,"5,5%",,Gyertyános Tök,Gyertyános Tök,,gyertyanos.hu,,"Egy jól megkomponált, sejtelmesen mély aranysárga színű, fűszerek, sütőtökvelő és püré hozzáadásával készült, idényjelleggel gyártott különlegesség. A fűszerek közül említést érdemel a szegfűbors. Alkoholtartalma 5,5%.",,,,,,,
89,5bf284c1e1ac2139ae95fe94,7.5,,Pyromania,Típusa: füstös barnasör,35,roth.beer,Színe: sötét barna,"Pyromania egy felsőerjesztésű, füstös barnasör. Ötféle malátát használtunk fel benne, így a pörkölt maláta íze mellett a kenyeres, karamelles jegyek is jelen vannak. Ízvilága valahol az angol porterek és a német bak sörök között van félúton. Alkoholtartalma meglehetősen magas, 7,5% -os, ettől enyhén édeskés a befejezése. Az édesség ellensúlyozására határozott keserűkomlózást alkalmaztunk, így jól iható, harmonikus sört kaptunk. Receptúránkban bükkfán füstölt bambergi árpamalátát is felhasználtunk, ami mérsékelt, füstölt sajtra, sonkára emlékeztető jelleget kölcsönöz sörünknek. Sör – étel párosítások során a Pyromania sok izgalmat tartogat számunkra.",18,,,,,,
90,5bf284c1e1ac2139ae95fe95,5,,Red 5,Típusa: Amerikai stílusú red ale,45,roth.beer,Színe: sötét vörös,"A Red5 egy amerikai red ale típusú sötétvörös sör bíborszínű árnyalatokkal. A RedX nevű különleges maláta adja a színét és a gazdag, malátás zamatát. Az ízek kerekítéséhez némi angol kristálymalátát is használunk amely kellemes, égetett cukros befejezést ad a kortynak. Gazdagon komlózzuk Citra és Centennial komlókkal, amelyek főleg az aromában vannak jelen, a komlókeserű visszafogott. A Red5 név máshonnan is ismerős lehet, Luke Skywalker is Red Five fedőnéven robbantotta szét az első Halálcsillagot egy X-szárnyú vadászgéppel.",13,,,,,,
91,5bf284c1e1ac2139ae95fe96,6.1,,Távoli Galaxis,Típusa: amerikai IPA,70,roth.beer,Színe: borostyán,"A Távoli Galaxis egy világos borostyán színű ale, a klasszikus IPA sörök kevésbé testes, szárazabb irányvonalának képviselője. Egy elegáns, enyhén karamelles malátatest az alapja amely kellő egyensúlyt támaszt a markáns komlókeserűnek. Nevét valamint citrusos, passió gyümölcsre emlékeztető ízét és illatát a Galaxy komlónak köszönheti. A 2013-ban megrendezett 2. Magyar Házisörfőző Verseny abszolút győztese, 2014 -ben pedig elnyerte az Év Kedvenc Kézműves Söre díjat.",14.5,,,,,,
92,5bf284c1e1ac2139ae95fe97,6.5,,Bakancslista,Típusa: amerikai IPA,70,roth.beer,Színe: borostyán,"A Bakancslista egy egykomlós (single-hop) sörsorozat, melynek különböző főzeteibe mindig más-más típusú komlót teszünk, ám a recept többi részét változatlanul hagyjuk. Mélyebb borostyán színű, kissé testes, karamelles maláta alapot használunk, amely többféle komlóaromához is jól passzol. Célunk a komlók sokszínű, izgalmas világának bemutatása egy-egy különlegesebb fajtán keresztül. Eszerint egy adott főzet a felhasznált komlótól függően lehet citrusos, trópusi gyümölcsös jellegű, bogyós gyümölcsökre emlékeztető vagy akár hagyományosabb, fűszeres vagy virágos karakterű. Az egyes “kiadásokat” sorszámozzuk feltűntetve a felhasznált komló nevét (pl. Bakancslista #24 – Chinook)",15.5,,,,,,
93,5bf284c1e1ac2139ae95fe98,5.1,,White Space,Típusa: Belga búzasör,15,roth.beer,Színe: szalmasárga,"White Space sörünknél a hagyományos belga receptúrát követtük. Szűretlen, kissé fátyolos megjelenésű sör, melynél az autentikus “sápadt” színt egy speciális, alacsony hőmérsékleten aszalt malátával érjük el. Ezen kívül malátázott és malátázatlan búzát is teszünk bele, ez utóbbi frissebb, cseppet fanyar búzaízt eredményez. A witbier lelke a fűszer, a koriander és szárított narancshéj citrusos ízvilága tovább fokozza a frissesség érzetét, Az i-re a pontot a különleges belga élesztő teszi fel.",12,,,,,,
94,5bf284c1e1ac2139ae95fe99,5 ,,Houston,Típusa: American Pale Ale – APA,40,roth.beer,Színe: világos sárga,"Houston sörünk intenzív, citrusos illatú és ízvilágú, szalmasárga színű, kellemesen kesernyés pale ale. Egy üde, frissítő hatású, könnyen iható sör volt a célunk, melynek eléréséhez a világos alapmaláták mellé némi búzamalátát is csempésztünk. Szárazabb, kevés maradék cukrot tartalmazó testtel bír, hiszen ez engedi igazán kibontakozni a komlót. A komlózásánál maradtunk a klasszikusoknál, az amerikai Cascade a domináns a jellegzetes, fűszeres, grepafruitos aromájával, ezt egészíti ki a lágyabb karakterű, gyümölcsösebb ausztrál Galaxy komló",12,,,,,,
95,5bf284c1e1ac2139ae95fe9a,5.1,,Gingermeister,Típusa: gyömbéres-mézes sör,25,roth.beer,Színe: sárga,"A gyömbér, a méz és a citrom összeszokott hármast alkot a gasztronómia számos területén, így a folyékony kenyér sem lehet ez alól kivétel. Az alap egy csendes, halk szavú, szalmasárga színű felsőerjesztésű ale, amely szerényen megbújik a fűszerek árnyékában. A Gingermeister ízvilágát a sok-sok frissen reszelt gyömbér és az óvatosan hámozott citromhéj dominálja, melyet szépen lekerekít a virágméz. Előfordul, hogy saját termelésű virágmézet használunk, ám méheink jellemzően nem bírják a tempót a fogyasztókkal. A Gingermeister sikerét a sok nemzetközi díj is alátámasztja, melyek a közül a legbüszkébbek Európa egyik legnívósabb versenyén, a Brusseles Beer Challenge- en elért harmadik helyre vagyunk.",12,,,,,,
96,5bf28b55e1ac213a42248606,"5,2",,HELMUT – Szűretlen Bajor Búzasör,BAJOR SZŰRETLEN BÚZASÖR,9,hedon.hu,,"Tradicionális bajor szűretlen búzasör. Speciális élesztővel készítettük, mely enyhén banános-szegfűszeges, és határozott citrusos ízvilágot kölcsönöz ennek a fanyar, frissítő és csábítóan szőke szépségnek.",,,,,,4-7,"
Kiszerelés: 0,5 l"
97,5bf28b56e1ac213a42248607,"4,8",,JOHNNY FIRPO – Világos Blond Ale,BLONDE ALE,23,hedon.hu,,"Az eltitkolt féltesó aki szőkébb, fickósabb, de ugyanolyan ütős, mint a bátyja. Könnyed, friss és ropogós blond ale, ami tökéletes passzol minden alkalomra.",,,,,,7-9,"Kiszerelés: 0,33L"
98,5bf28b56e1ac213a42248608,5,,BALATONVILAGOSI – Pilsner,PILSNER,20,hedon.hu,,"
",,,,,,4-7,"Kiszerelés: 0,5 l"
99,5bf28b56e1ac213a42248609,5,,VERTIGO – Hoppy Lager,Hedon Vertigo – Komlóaromájú Lager,30,hedon.hu,,Amerikai komlósláger gazdagon malátázott ízvilággal. Már az első kortya magával ragad – és újra meg újra visszatérsz hozzá.,,,,,,5-9,"
Kiszerelés: 0,5 l"
